,name,post,profile,sentiment
30,Profile Software Services,Cuando acabas de comenzar a trabajar en una empresa ¿Qué es lo que más valoras en el proceso de #onboarding? 👩🏻‍🤝‍👨🏾👩🏻‍🤝‍👨🏾 ¡Cuéntanos qué experiencias crees que hacen más fáciles los primeros días!#empleo #talento #talentoit ,https://www.linkedin.com/company/profile-software-services/,0.0
31,Helena Arranz Gil,"Hola, red. He recibido este mensaje :¿alguien puede ayudar a Karina?Hola Helena! ¿Cómo estás? tengo una consulta, tengo una amiga que me pregunto: ""tengo un texto de Wikipedia de un escritor, listo para insertarse en Google. Pero parece no ser tan simple. Quizás haya caracteres especiales para centrarlo y subirlo a la Web. Habrá alguna persona que lo sepa subir?"" ¿Sabes de que se trata o como lo soluciona o tenes colegas que te puedan dar una respuesta? Muchas gracias! Karina#problema #solución #red",https://www.linkedin.com/in/helenaarranzgil,-0.5781
32,Audi España,Audi activesphere concept es el compañero perfecto para tus aventuras al aire libre. Combina una elegancia imponente con una capacidad todoterreno.,https://www.linkedin.com/company/audispain/,0.3182
33,MongoDB,"Get the most out of your MongoDB deployments, including querying, scaling, and data modeling, with these best practices.",https://www.linkedin.com/company/mongodbinc/,0.6369
34,Innova-tsn,"📣 Hoy hemos participado en la #SemanaDelSeguro de INESE, en su 30 aniversario, donde hemos charlado sobre nuevas aproximaciones al #DataManagement, como #DataMesh y sobre cómo gestionar los #datos como productos. 👩‍💻 🗣️ Nuestra sesión: “Del espagueti a la malla: el futuro de los datos en el Sector Seguros” (en la Sala 113 -114) ha dado comienzo con 🎤 Carlos R. Larrea Cruces, Business Development Manager y experto en #Seguros de Innova-tsn, hablando de los datos en el Sector Asegurador y dándonos una visión a altao nivel de la situación actual. “Los espaguetis” 🍝Después, ha sido el turno de de Ignacio Barahona Moreno, Socio Fundador y Head of Data Value en Innova-tsn, que nos ha presentado las nuevas aproximaciones a la gestión del dato y el gobierno federado. Democratización del dato. “La malla” ✅Posteriormente, hemos dado paso al #CasoPráctico de Iberinform de la mano de su Director General, Ignacio Jimenez, quien nos ha acercado a la visión de “los APIs como producto” y nos ha contado la estrategia ""API first"" como motor de innovación y monetización. 👩‍💻 Algunos de los puntos clave de su ponencia sobre el caso de Iberinform , ""Un spin off de un área de datos de una compañía de Seguros"", han sido: 🎯 El objetivo: convertir los datos en información accionable. Datos ➕ Modelos predictivos y analíticos ➕ Tecnología 💡 Cómo se hizo: centrándose en dar solución a las necesidades de clientes.💬 En definitiva, en palabras de Ignacio Jimenez: ""Convertimos un problema interno en una ventaja competitiva"". ☕️ Y, por último, hemos llevado a cabo una #MesaRedonda en la que, junto a nuestros invitados, hemos tratado de dar una visión a futuro de los #datos en el #SectorSeguros. 📌 Para esta #MesaRedonda nos han acompañado: Luis Miguel Nuez Campos de SegurCaixa Adeslas, Javier Yuste Heredero de Zurich Insurance, Nestor Alvaro, PhD de Santalucía Seguros e Ignacio Jimenez de Iberinform . 💙 Gracias a todos por acompañarnos en esta jornada tan interesante y por aportar su visión del #SectorAsegurador. Desde Innova-tsn estamos muy agradecidos de haber podido contar con vosotros. #BigIdeas #BigLearnings💙 Gracias también a INESE por la organización y por la vuelta de la #SemanaDelSeguro en formato presencial. ¡Ha sido un placer volver a vernos las caras una vez más!💙 Y, sobre todo, muchísimas gracias a todos los asistentes por su interés y por completar el aforo de la sala, haciendo de esta jornada un gran éxito para nosotros.",https://www.linkedin.com/company/innovatsn/,0.9134
35,Francisco Polo,"Prometo que voy a descansar pero hoy Barcelona Activa, ACCIÓ, Barcelona Global y Tech Barcelona han querido que participara en su acto de presentación del nuevo marco regulatorio para startups en España.Ha sido un placer compartir el resultado de un trabajo colectivo, liderado por un equipo excepcional que he tenido el honor de liderar en los últimos años.Siempre quedará trabajo por hacer. Pero en actos como este se puede percibir cómo el ecosistema ha decidido tomar el testigo y escribir su futuro en colaboración.En este terreno, la colaboración público-privada es la mejor fórmula para conseguir cambios que resulten en una economía más fuerte, más resiliente y capaz de generar más y mejores empleos para todos.",https://www.linkedin.com/in/franciscopolo,0.6808
36,Ironhack Amsterdam,"Startups boast high risk/high reward potential, an increased importance on KPIs, and an all-hands-on-deck mentality to get them off the ground. Is it the right fit for you? It could be ➡️ https://lnkd.in/exdvsQAr#startup #netherlands",https://www.linkedin.com/company/ironhack-amsterdam-bootcamp/,0.8689
37,DTU - Technical University of Denmark,Different teams create a bigger impact. We accept students from all academic backgrounds and invite them to build change in the world. Apply now! #buildthechange 🌈 🌍 🦾,https://www.linkedin.com/company/technical-university-of-denmark/,0.68
38,Adevinta,"Last month, Adevinta Spain held their first innovation #Hackathon 🚀 The three days were full of creativity, energy and ideas that will help contribute to the future of Adevinta!Many thanks to the 31 teams and 180+ Adevintans who participated... and congratulations to the winning ideas! 🏆#BeYourBest #Hackathon2023 #Innovation",https://www.linkedin.com/company/adevinta/,0.9627
39,Mohamed Azar El Mourabit,I just posted a new article in medium  ✍🏼 where I show how to use linear regression to predict ice cream sales 🍦using the temperature 🌡 as a predictor. Check it out :) #machinelearning #sales ,https://www.linkedin.com/in/marc-soler,0.4588
